au,n_tv,n103,p_tv,n_box
2195,313,298,0.95208,72
2174,402,374,0.93035,121
2197,254,231,0.90945,81
2143,261,236,0.90421,89
2145,175,157,0.89714,61
2142,356,315,0.88483,122
2191,265,234,0.88302,71
2121,530,467,0.88113,123
2144,424,373,0.87972,111
2172,290,254,0.87586,71
2139,281,241,0.85765,79
2122,325,278,0.85538,117
2168,421,359,0.85273,151
2169,268,228,0.85075,77
2179,320,270,0.84375,139
2173,362,304,0.83978,123
2196,406,340,0.83744,83
2175,440,368,0.83636,124
2176,430,359,0.83488,99
2123,375,313,0.83467,145
2141,401,334,0.83292,133
2199,341,284,0.83284,82
2192,358,298,0.8324,82
2157,232,192,0.82759,77
2161,328,268,0.81707,72
2135,343,280,0.81633,104
2116,543,442,0.814,137
2118,531,430,0.80979,145
2177,329,264,0.80243,86
2131,270,216,0.8,72
2193,292,233,0.79795,90
2159,287,227,0.79094,137
2132,299,234,0.78261,80
2133,279,218,0.78136,68
2194,242,189,0.78099,77
2164,264,206,0.7803,73
2178,386,300,0.7772,132
2126,462,358,0.77489,148
2162,405,312,0.77037,138
2115,614,467,0.76059,156
2165,164,124,0.7561,50
2114,519,392,0.7553,165
2163,299,223,0.74582,133
2167,276,205,0.74275,74
2125,89,66,0.74157,84
2166,183,135,0.7377,34
2171,524,383,0.73092,130
2137,318,231,0.72642,81
2181,416,301,0.72356,138
2136,322,231,0.71739,104
2152,7,5,0.71429,0
2182,178,127,0.71348,108
2153,129,92,0.71318,61
2158,179,127,0.7095,64
2156,290,204,0.70345,99
2124,84,59,0.70238,58
2128,451,312,0.6918,170
2183,573,394,0.68761,178
2198,16,11,0.6875,0
2185,468,317,0.67735,165
2184,496,331,0.66734,173
2155,312,205,0.65705,155
2117,500,327,0.654,146
2138,324,211,0.65123,86
2154,400,240,0.6,134
2127,598,346,0.5786,158
2129,392,219,0.55867,168
2112,436,221,0.50688,154
2113,499,212,0.42485,187
