art_unit,period,n,n103
2112,2015H1,148,77
2112,2015H2,138,66
2112,2016H1,150,78
2113,2015H1,182,70
2113,2015H2,133,56
2113,2016H1,184,86
2114,2015H1,210,164
2114,2015H2,134,99
2114,2016H1,175,129
2115,2015H1,245,183
2115,2015H2,159,125
2115,2016H1,210,159
2116,2015H1,188,136
2116,2015H2,148,131
2116,2016H1,207,175
2117,2015H1,168,92
2117,2015H2,129,90
2117,2016H1,203,145
2118,2015H1,219,176
2118,2015H2,148,121
2118,2016H1,164,133
2121,2015H1,213,186
2121,2015H2,162,142
2121,2016H1,155,139
2122,2015H1,143,129
2122,2015H2,95,75
2122,2016H1,87,74
2123,2015H1,152,127
2123,2015H2,104,87
2123,2016H1,119,99
2124,2015H1,26,19
2124,2015H2,24,21
2124,2016H1,34,19
2125,2015H1,27,20
2125,2015H2,19,17
2125,2016H1,43,29
2126,2015H1,164,116
2126,2015H2,146,121
2126,2016H1,152,121
2127,2015H1,256,144
2127,2015H2,153,89
2127,2016H1,189,113
2128,2015H1,176,126
2128,2015H2,144,99
2128,2016H1,131,87
2129,2015H1,198,102
2129,2015H2,132,80
2129,2016H1,62,37
2131,2015H1,127,103
2131,2015H2,71,59
2131,2016H1,72,54
2132,2015H1,141,111
2132,2015H2,72,55
2132,2016H1,86,68
2133,2015H1,111,89
2133,2015H2,66,51
2133,2016H1,102,78
2135,2015H1,155,122
2135,2015H2,84,70
2135,2016H1,104,88
2136,2015H1,144,106
2136,2015H2,65,43
2136,2016H1,113,82
2137,2015H1,130,88
2137,2015H2,88,65
2137,2016H1,100,78
2138,2015H1,137,82
2138,2015H2,94,58
2138,2016H1,93,71
2139,2015H1,96,84
2139,2015H2,73,59
2139,2016H1,112,98
2141,2015H1,151,130
2141,2015H2,112,99
2141,2016H1,138,105
2142,2015H1,164,140
2142,2015H2,106,97
2142,2016H1,86,78
2143,2015H1,103,95
2143,2015H2,84,76
2143,2016H1,74,65
2144,2015H1,168,149
2144,2015H2,124,108
2144,2016H1,132,116
2145,2015H1,83,73
2145,2015H2,39,36
2145,2016H1,53,48
2152,2015H1,3,2
2152,2015H2,4,3
2153,2015H1,41,30
2153,2015H2,37,26
2153,2016H1,51,36
2154,2015H1,174,104
2154,2015H2,113,68
2154,2016H1,113,68
2155,2015H1,81,51
2155,2015H2,93,61
2155,2016H1,138,93
2156,2015H1,103,75
2156,2015H2,99,64
2156,2016H1,88,65
2157,2015H1,97,87
2157,2015H2,64,50
2157,2016H1,71,55
2158,2015H1,75,52
2158,2015H2,45,30
2158,2016H1,59,45
2159,2015H1,96,77
2159,2015H2,99,77
2159,2016H1,92,73
2161,2015H1,143,114
2161,2015H2,75,60
2161,2016H1,110,94
2162,2015H1,119,89
2162,2015H2,126,92
2162,2016H1,160,131
2163,2015H1,110,80
2163,2015H2,82,66
2163,2016H1,107,77
2164,2015H1,121,98
2164,2015H2,69,53
2164,2016H1,74,55
2165,2015H1,73,54
2165,2015H2,47,38
2165,2016H1,44,32
2166,2015H1,74,47
2166,2015H2,56,48
2166,2016H1,53,40
2167,2015H1,101,72
2167,2015H2,76,52
2167,2016H1,99,81
2168,2015H1,170,146
2168,2015H2,130,113
2168,2016H1,121,100
2169,2015H1,121,102
2169,2015H2,65,54
2169,2016H1,82,72
2171,2015H1,230,169
2171,2015H2,140,95
2171,2016H1,154,119
2172,2015H1,136,123
2172,2015H2,80,68
2172,2016H1,74,63
2173,2015H1,142,118
2173,2015H2,106,86
2173,2016H1,114,100
2174,2015H1,203,187
2174,2015H2,70,65
2174,2016H1,129,122
2175,2015H1,201,164
2175,2015H2,108,94
2175,2016H1,131,110
2176,2015H1,197,166
2176,2015H2,135,107
2176,2016H1,98,86
2177,2015H1,139,107
2177,2015H2,103,80
2177,2016H1,87,77
2178,2015H1,162,123
2178,2015H2,98,77
2178,2016H1,126,100
2179,2015H1,157,131
2179,2015H2,61,55
2179,2016H1,102,84
2181,2015H1,137,101
2181,2015H2,125,90
2181,2016H1,154,110
2182,2015H1,43,38
2182,2015H2,37,27
2182,2016H1,98,62
2183,2015H1,216,149
2183,2015H2,181,125
2183,2016H1,176,120
2184,2015H1,168,125
2184,2015H2,160,112
2184,2016H1,168,94
2185,2015H1,199,142
2185,2015H2,110,71
2185,2016H1,159,104
2191,2015H1,113,100
2191,2015H2,76,65
2191,2016H1,76,69
2192,2015H1,126,100
2192,2015H2,122,105
2192,2016H1,110,93
2193,2015H1,144,108
2193,2015H2,63,53
2193,2016H1,85,72
2194,2015H1,93,74
2194,2015H2,63,45
2194,2016H1,86,70
2195,2015H1,145,142
2195,2015H2,91,87
2195,2016H1,77,69
2196,2015H1,174,139
2196,2015H2,107,94
2196,2016H1,125,107
2197,2015H1,97,94
2197,2015H2,68,56
2197,2016H1,89,81
2198,2015H1,16,11
2199,2015H1,157,133
2199,2015H2,93,79
2199,2016H1,91,72
